stock_id,company_name,market,industry,security_type,listed_date,isin,quote_date,close,change,volume_shares,valuation_date,pe_ratio,pb_ratio,dividend_yield_pct,chip_date,foreign_net_buy_shares,investment_trust_net_buy_shares,dealer_net_buy_shares,institutional_total_net_buy_shares,has_price_file,price_file
2755,揚秦,twse,觀光餐旅,股票,2020/12/16,TW0002755006,,,,,,,,,20260618,7950.0,0.0,0.0,7950.0,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2755.csv
2756,聯發國際,twse,觀光餐旅,股票,2022/01/14,TW0002756004,,,,,,,,,20260618,13000.0,0.0,0.0,13000.0,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2756.csv
2762,世界健身-KY,twse,運動休閒,股票,2024/01/24,KYG9823E1089,1150618,85.3,0.1,79923.0,1150618,16.09,3.49,6.98,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2762.csv
2801,彰銀,twse,金融保險業,股票,1962/02/15,TW0002801008,1150618,22.85,-0.1,38635314.0,1150618,14.28,1.19,4.6,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2801.csv
2812,台中銀,twse,金融保險業,股票,1984/05/15,TW0002812005,1150618,19.8,-0.05,22418129.0,1150618,12.77,1.27,5.35,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2812.csv
2816,旺旺保,twse,金融保險業,股票,1992/05/05,TW0002816006,1150618,33.45,-0.15,329544.0,1150618,5.31,0.88,4.48,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2816.csv
2820,華票,twse,金融保險業,股票,1994/10/26,TW0002820008,1150618,17.85,0.0,3571526.0,1150618,11.74,0.86,5.04,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2820.csv
2832,台產,twse,金融保險業,股票,1997/09/30,TW0002832003,1150618,56.3,-0.6,655759.0,1150618,10.83,1.17,6.22,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2832.csv
2834,臺企銀,twse,金融保險業,股票,1998/01/03,TW0002834009,1150618,17.5,-0.15,51570859.0,1150618,13.36,1.14,5.71,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2834.csv
2836,高雄銀,twse,金融保險業,股票,1998/05/18,TW0002836004,1150618,12.35,0.05,3004980.0,1150618,16.69,0.86,3.64,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2836.csv
2838,聯邦銀,twse,金融保險業,股票,1998/06/29,TW0002838000,1150618,22.75,0.3,7573267.0,1150618,16.13,1.23,4.66,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2838.csv
2845,遠東銀,twse,金融保險業,股票,1998/11/27,TW0002845005,1150618,12.95,-0.35,37159921.0,1150618,14.72,0.89,4.86,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2845.csv
2849,安泰銀,twse,金融保險業,股票,1999/09/27,TW0002849007,1150618,14.6,0.05,156480.0,1150618,16.98,0.78,3.49,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2849.csv
2850,新產,twse,金融保險業,股票,2000/05/22,TW0002850005,1150618,142.0,0.5,606934.0,1150618,10.14,2.05,5.12,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2850.csv
2851,中再保,twse,金融保險業,股票,2000/07/06,TW0002851003,1150618,39.0,-1.55,4677381.0,1150618,7.53,1.33,5.64,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2851.csv
2852,第一保,twse,金融保險業,股票,2000/11/28,TW0002852001,1150618,26.35,-0.2,1688841.0,1150618,8.56,0.84,6.3,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2852.csv
