event_id,revenue_month,announcement_date,announcement_time,market,stock_id,company_name,current_month_revenue,previous_month_revenue,previous_year_month_revenue,mom_pct,yoy_pct,cumulative_revenue,previous_year_cumulative_revenue,cumulative_yoy_pct,note,source_url
revenue_202604_2727,2026-04,2026-05-10,after_close,listed,2727,王品,1926868.0,1962431.0,1703297.0,-0.0181,0.13119999999999998,8405357.0,7624068.0,0.1024,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2731,2026-04,2026-05-10,after_close,listed,2731,雄獅,2727755.0,2682820.0,2483885.0,0.0167,0.0981,10857422.0,9630074.0,0.1274,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2739,2026-04,2026-05-10,after_close,listed,2739,寒舍,391112.0,464224.0,369177.0,-0.1574,0.0594,1814384.0,1768641.0,0.0258,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2748,2026-04,2026-05-10,after_close,listed,2748,雲品,173447.0,192302.0,165150.0,-0.098,0.050199999999999995,950376.0,905243.0,0.049800000000000004,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2753,2026-04,2026-05-10,after_close,listed,2753,八方雲集,761091.0,811703.0,705278.0,-0.0623,0.0791,3023919.0,2882627.0,0.049,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_5706,2026-04,2026-05-10,after_close,listed,5706,鳳凰,279496.0,205268.0,351448.0,0.3616,-0.2047,988899.0,1071398.0,-0.077,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_7705,2026-04,2026-05-10,after_close,listed,7705,三商餐飲,488432.0,529317.0,479499.0,-0.07719999999999999,0.018600000000000002,2092878.0,1990371.0,0.051500000000000004,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_7760,2026-04,2026-05-10,after_close,listed,7760,享溫馨,82147.0,102748.0,88368.0,-0.2005,-0.0703,479119.0,490690.0,-0.0235,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_8940,2026-04,2026-05-10,after_close,listed,8940,新天地,84351.0,150032.0,80016.0,-0.43770000000000003,0.0541,708390.0,680183.0,0.0414,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_9943,2026-04,2026-05-10,after_close,listed,9943,好樂迪,171974.0,168918.0,184723.0,0.018000000000000002,-0.069,802715.0,875504.0,-0.08310000000000001,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
