event_id,revenue_month,announcement_date,announcement_time,buy_date,buy_price,market,stock_id,company_name,current_month_revenue,mom_pct,yoy_pct,cumulative_yoy_pct,foreign_net_buy_shares,investment_trust_net_buy_shares,dealer_net_buy_shares,institutional_total_net_buy_shares,avg_volume_5d,avg_volume_20d,previous_volume,previous_volume_ratio_20d,breakout_20d,breakout_60d,breakout_120d,breakout_240d,eps_quality_score,price_file
revenue_202604_7820,2026-04,2026-05-10,after_close,2026-05-11,155.0,otc,7820,立盈,33506.0,-0.0060999999999999995,0.5776,0.6184000000000001,-3000.0,0.0,0.0,-3000.0,257800.0,257800.0,120000.0,0.46547711404189296,True,True,True,True,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\7820.csv
revenue_202604_7842,2026-04,2026-05-10,after_close,2026-06-01,110.0,otc,7842,天能綠電,278159.0,-0.0608,0.5284,0.7597,,,,,,,,,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\7842.csv
revenue_202604_8087,2026-04,2026-05-10,after_close,2026-05-11,35.5,otc,8087,麗升能源,142622.0,0.0815,28.812199999999997,3.2801,-2000.0,0.0,3000.0,1000.0,53600.0,61900.0,52000.0,0.840064620355412,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\8087.csv
revenue_202604_8171,2026-04,2026-05-10,after_close,2026-06-01,25.0,otc,8171,天宇,52636.0,0.9578,2.6989,0.5536,48000.0,0.0,466.0,48466.0,,,,,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\8171.csv
revenue_202604_8390,2026-04,2026-05-10,after_close,2026-05-11,100.0,otc,8390,金益鼎,594820.0,0.1121,0.3187,0.4439,165062.0,0.0,12350.0,177412.0,754400.0,825400.0,757000.0,0.917131087957354,True,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\8390.csv
revenue_202604_8423,2026-04,2026-05-10,after_close,2026-05-11,18.05,otc,8423,保綠-KY,40156.0,0.0898,0.037599999999999995,0.029500000000000002,-2000.0,0.0,0.0,-2000.0,15000.0,22250.0,18000.0,0.8089887640449438,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\8423.csv
revenue_202604_8440,2026-04,2026-05-10,after_close,2026-05-11,20.6,otc,8440,綠電,83345.0,0.2619,0.0542,-0.1818,90000.0,0.0,0.0,90000.0,186600.0,131750.0,337000.0,2.5578747628083494,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\8440.csv
revenue_202604_2640,2026-04,2026-05-10,after_close,2026-05-11,168.0,otc,2640,大車隊,277597.0,0.0296,0.0964,0.0645,-32259.0,0.0,0.0,-32259.0,41000.0,64200.0,49000.0,0.7632398753894081,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\2640.csv
revenue_202604_2949,2026-04,2026-05-10,after_close,2026-05-11,52.8,otc,2949,欣新網,511675.0,-0.12359999999999999,0.2569,0.1907,3000.0,0.0,0.0,3000.0,14400.0,7750.0,25000.0,3.225806451612903,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\2949.csv
revenue_202604_3085,2026-04,2026-05-10,after_close,2026-05-11,11.9,otc,3085,新零售,7831.0,0.5683,0.968,0.18280000000000002,,,,,8600.0,9900.0,5000.0,0.5050505050505051,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\3085.csv
