combo,trades,months,win_rate,avg_return_pct,median_return_pct,monthly_avg_return_pct,hit_goal
"breakout_120d,breakout_240d,avg_volume_5d_gt_300k,prev_vol_ratio_gt_1_5,inst_buy_gt_100k,avg_volume_5d_gt_100k,foreign_buy_gt_100k",23,5,0.695652,0.094906,0.056962,0.166622,False
"breakout_120d,avg_volume_5d_gt_300k,breakout_60d,prev_vol_ratio_gt_1_5,breakout_20d,inst_buy_gt_100k,foreign_buy_gt_100k",23,5,0.695652,0.094906,0.056962,0.166622,False
"breakout_120d,avg_volume_5d_gt_300k,breakout_60d,prev_vol_ratio_gt_1_5,inst_buy_gt_100k,avg_volume_5d_gt_100k,foreign_buy_gt_100k",23,5,0.695652,0.094906,0.056962,0.166622,False
"breakout_120d,avg_volume_5d_gt_300k,prev_vol_ratio_gt_1_5,breakout_20d,inst_buy_gt_100k,avg_volume_5d_gt_100k,foreign_buy_gt_100k",23,5,0.695652,0.094906,0.056962,0.166622,False
"breakout_240d,avg_volume_5d_gt_300k,breakout_60d,prev_vol_ratio_gt_1_5,breakout_20d,inst_buy_gt_100k,foreign_buy_gt_100k",23,5,0.695652,0.094906,0.056962,0.166622,False
"breakout_240d,avg_volume_5d_gt_300k,breakout_60d,prev_vol_ratio_gt_1_5,inst_buy_gt_100k,avg_volume_5d_gt_100k,foreign_buy_gt_100k",23,5,0.695652,0.094906,0.056962,0.166622,False
"breakout_240d,avg_volume_5d_gt_300k,prev_vol_ratio_gt_1_5,breakout_20d,inst_buy_gt_100k,avg_volume_5d_gt_100k,foreign_buy_gt_100k",23,5,0.695652,0.094906,0.056962,0.166622,False
"breakout_120d,breakout_240d,avg_volume_5d_gt_300k,breakout_60d,prev_vol_ratio_gt_1_5,breakout_20d,inst_buy_gt_100k,foreign_buy_gt_100k",23,5,0.695652,0.094906,0.056962,0.166622,False
"breakout_120d,breakout_240d,avg_volume_5d_gt_300k,breakout_60d,prev_vol_ratio_gt_1_5,inst_buy_gt_100k,avg_volume_5d_gt_100k,foreign_buy_gt_100k",23,5,0.695652,0.094906,0.056962,0.166622,False
"breakout_120d,breakout_240d,avg_volume_5d_gt_300k,prev_vol_ratio_gt_1_5,breakout_20d,inst_buy_gt_100k,avg_volume_5d_gt_100k,foreign_buy_gt_100k",23,5,0.695652,0.094906,0.056962,0.166622,False
"breakout_120d,avg_volume_5d_gt_300k,breakout_60d,prev_vol_ratio_gt_1_5,breakout_20d,inst_buy_gt_100k,avg_volume_5d_gt_100k,foreign_buy_gt_100k",23,5,0.695652,0.094906,0.056962,0.166622,False
"breakout_240d,avg_volume_5d_gt_300k,breakout_60d,prev_vol_ratio_gt_1_5,breakout_20d,inst_buy_gt_100k,avg_volume_5d_gt_100k,foreign_buy_gt_100k",23,5,0.695652,0.094906,0.056962,0.166622,False
"prev_vol_ratio_gt_1_5,breakout_20d,foreign_buy_gt_100k",32,5,0.75,0.106806,0.056962,0.165789,False
