tune_index,threshold,chip_weight,tech_weight,fundamental_weight,trades,months,min_trades_per_month,win_rate,avg_return_pct,monthly_avg_return_pct,objective
0,22.5,1.0,1.0,1.0,25,5,5,0.6,0.044891,0.044891,0.322445
2,0.0,1.0,1.2,0.8,25,5,5,0.56,0.037636,0.037636,0.298818
2,0.5,1.0,1.2,0.8,25,5,5,0.56,0.037636,0.037636,0.298818
2,1.0,1.0,1.2,0.8,25,5,5,0.56,0.037636,0.037636,0.298818
2,1.5,1.0,1.2,0.8,25,5,5,0.56,0.037636,0.037636,0.298818
2,2.0,1.0,1.2,0.8,25,5,5,0.56,0.037636,0.037636,0.298818
2,2.5,1.0,1.2,0.8,25,5,5,0.56,0.037636,0.037636,0.298818
2,3.0,1.0,1.2,0.8,25,5,5,0.56,0.037636,0.037636,0.298818
2,3.5,1.0,1.2,0.8,25,5,5,0.56,0.037636,0.037636,0.298818
2,4.0,1.0,1.2,0.8,25,5,5,0.56,0.037636,0.037636,0.298818
2,4.5,1.0,1.2,0.8,25,5,5,0.56,0.037636,0.037636,0.298818
2,5.0,1.0,1.2,0.8,25,5,5,0.56,0.037636,0.037636,0.298818
2,5.5,1.0,1.2,0.8,25,5,5,0.56,0.037636,0.037636,0.298818
2,6.0,1.0,1.2,0.8,25,5,5,0.56,0.037636,0.037636,0.298818
2,6.5,1.0,1.2,0.8,25,5,5,0.56,0.037636,0.037636,0.298818
2,7.0,1.0,1.2,0.8,25,5,5,0.56,0.037636,0.037636,0.298818
2,7.5,1.0,1.2,0.8,25,5,5,0.56,0.037636,0.037636,0.298818
2,8.0,1.0,1.2,0.8,25,5,5,0.56,0.037636,0.037636,0.298818
2,8.5,1.0,1.2,0.8,25,5,5,0.56,0.037636,0.037636,0.298818
2,9.0,1.0,1.2,0.8,25,5,5,0.56,0.037636,0.037636,0.298818
2,9.5,1.0,1.2,0.8,25,5,5,0.56,0.037636,0.037636,0.298818
2,10.0,1.0,1.2,0.8,25,5,5,0.56,0.037636,0.037636,0.298818
2,10.5,1.0,1.2,0.8,25,5,5,0.56,0.037636,0.037636,0.298818
2,11.0,1.0,1.2,0.8,25,5,5,0.56,0.037636,0.037636,0.298818
2,11.5,1.0,1.2,0.8,25,5,5,0.56,0.037636,0.037636,0.298818
